station_id,external_id,name,short_name,lat,lon,rental_methods/0,rental_methods/1,capacity,electric_bike_surcharge_waiver,eightd_has_key_dispenser,eightd_station_services/0/id,eightd_station_services/0/service_type,eightd_station_services/0/bikes_availability,eightd_station_services/0/docks_availability,eightd_station_services/0/name,eightd_station_services/0/description,eightd_station_services/0/schedule_description,eightd_station_services/0/link_for_more_info,has_kiosk
34,0b101537-08f3-11e7-a1cb-3863bb33a4e4,Viger / Chenneville,6035,45.50531166520915,-73.56089115142822,CREDITCARD,KEY,38,false,false,,,,,,,,,true
35,0b101691-08f3-11e7-a1cb-3863bb33a4e4,de la Commune / St-Sulpice,6036,45.50424245563397,-73.553469479084,CREDITCARD,KEY,47,false,false,,,,,,,,,true
36,0b1017ec-08f3-11e7-a1cb-3863bb33a4e4,St-Nicolas / Place d'Youville,6037,45.501966859101564,-73.55515256524086,CREDITCARD,KEY,15,false,false,,,,,,,,,true
37,0b101966-08f3-11e7-a1cb-3863bb33a4e4,McGill / Place d'Youville,6038,45.49975,-73.55566,CREDITCARD,KEY,23,false,false,,,,,,,,,true
38,0b101acc-08f3-11e7-a1cb-3863bb33a4e4,McGill / des Récollets,6039,45.500779,-73.558826,CREDITCARD,KEY,19,false,false,,,,,,,,,true
39,0b101c22-08f3-11e7-a1cb-3863bb33a4e4,St-Jacques / St-Pierre,6040,45.50278649802565,-73.55913430452347,CREDITCARD,KEY,19,false,false,,,,,,,,,true
40,0b101d77-08f3-11e7-a1cb-3863bb33a4e4,St-Jacques / McGill,6041,45.50144108135568,-73.56014415621758,CREDITCARD,KEY,31,false,false,,,,,,,,,true
41,0b101ed0-08f3-11e7-a1cb-3863bb33a4e4,de la Gauchetière / Robert-Bourassa,6042,45.50060578095098,-73.56544822454453,CREDITCARD,KEY,27,false,false,,,,,,,,,true
42,0b102046-08f3-11e7-a1cb-3863bb33a4e4,Square Victoria (Viger / du Square-Victoria),6043,45.50206,-73.56295,CREDITCARD,KEY,19,false,false,,,,,,,,,true
43,0b1021af-08f3-11e7-a1cb-3863bb33a4e4,Roy / St-André,6044,45.521564270906616,-73.57036739587784,CREDITCARD,KEY,23,false,false,,,,,,,,,true
45,0b10246c-08f3-11e7-a1cb-3863bb33a4e4,Métro Bonaventure (de la Gauchetière / de la Cathédrale),6046,45.49831217703312,-73.56725603342056,CREDITCARD,KEY,51,false,false,,,,,,,,,true
46,0b1025c4-08f3-11e7-a1cb-3863bb33a4e4,Milton / Durocher,6204,45.508140959417744,-73.57492983341217,CREDITCARD,KEY,27,false,false,,,,,,,,,true
47,0b10272a-08f3-11e7-a1cb-3863bb33a4e4,William / St-Henri,6048,45.49891911390352,-73.55725407600403,CREDITCARD,KEY,19,false,false,,,,,,,,,true
48,0b102b66-08f3-11e7-a1cb-3863bb33a4e4,Queen / Wellington,6049,45.49760527699099,-73.55534970760345,CREDITCARD,KEY,39,false,false,,,,,,,,,true
49,0b102c87-08f3-11e7-a1cb-3863bb33a4e4,St-Maurice / Robert-Bourassa,6050,45.498577791020146,-73.56024205684662,CREDITCARD,KEY,43,false,false,,,,,,,,,true
50,0b102d8f-08f3-11e7-a1cb-3863bb33a4e4,de Gaspé / Marmier,6051,45.529686,-73.601728,CREDITCARD,KEY,22,false,false,,,,,,,,,true
51,0b102e96-08f3-11e7-a1cb-3863bb33a4e4,de la Commune / King,6052,45.49751503379366,-73.55257093906403,CREDITCARD,KEY,105,false,false,,,,,,,,,true
52,0b102fb4-08f3-11e7-a1cb-3863bb33a4e4,du Président-Kennedy / Jeanne-Mance,6053,45.508204615051355,-73.56881439685822,CREDITCARD,KEY,23,false,false,,,,,,,,,true
55,0b10559b-08f3-11e7-a1cb-3863bb33a4e4,Peel / de la Gauchetiere,6057,45.4977183451679,-73.5681800544262,CREDITCARD,KEY,23,false,false,,,,,,,,,true
56,0b1056fb-08f3-11e7-a1cb-3863bb33a4e4,Cypress / Peel,6058,45.49932551028458,-73.57176750898361,CREDITCARD,KEY,23,false,false,,,,,,,,,true
57,0b10581e-08f3-11e7-a1cb-3863bb33a4e4,de la Cathédrale / René-Lévesque,6059,45.499191207076606,-73.56942057609558,CREDITCARD,KEY,55,false,false,,,,,,,,,true
58,0b105944-08f3-11e7-a1cb-3863bb33a4e4,Belmont / Robert-Bourassa,6060,45.501366848348894,-73.56583714485167,CREDITCARD,KEY,35,false,false,,,,,,,,,true
59,0b105a5b-08f3-11e7-a1cb-3863bb33a4e4,Mansfield / Ste-Catherine,6061,45.501398709321506,-73.57178628444672,CREDITCARD,KEY,23,false,false,,,,,,,,,true
60,0b105b66-08f3-11e7-a1cb-3863bb33a4e4,Drummond / Ste-Catherine,6062,45.49863930330429,-73.57422709465027,CREDITCARD,KEY,35,false,false,,,,,,,,,true
61,0b105c6d-08f3-11e7-a1cb-3863bb33a4e4,Drummond / de Maisonneuve,6063,45.49947,-73.57591,CREDITCARD,KEY,43,false,false,,,,,,,,,true
62,0b105d73-08f3-11e7-a1cb-3863bb33a4e4,Métro Peel (de Maisonneuve / Stanley),6064,45.50038,-73.57507,CREDITCARD,KEY,57,false,false,,,,,,,,,true
63,0b105e8d-08f3-11e7-a1cb-3863bb33a4e4,de la Montagne / Sherbrooke,6065,45.499744750433784,-73.57903361320496,CREDITCARD,KEY,23,false,false,,,,,,,,,true
64,0b105f95-08f3-11e7-a1cb-3863bb33a4e4,Porte-de-Québec / St-Hubert,6067,45.51249475526989,-73.55087846517563,CREDITCARD,KEY,25,false,false,,,,,,,,,true
65,0b10609d-08f3-11e7-a1cb-3863bb33a4e4,2e avenue / Jean-Rivard,6068,45.562509038048915,-73.61656039953232,CREDITCARD,KEY,31,false,false,,,,,,,,,true
67,0b1062ad-08f3-11e7-a1cb-3863bb33a4e4,Milton / University,6070,45.5064484,-73.57634872,CREDITCARD,KEY,31,false,false,,,,,,,,,true
68,0b1063c4-08f3-11e7-a1cb-3863bb33a4e4,de Maisonneuve / Aylmer (ouest),6073,45.50501,-73.57069,CREDITCARD,KEY,45,false,false,,,,,,,,,true
69,0b1064d3-08f3-11e7-a1cb-3863bb33a4e4,de Ville-Marie / Ste-Catherine,6076,45.55792114867545,-73.52914720773697,CREDITCARD,KEY,15,false,false,,,,,,,,,true
71,0b10680e-08f3-11e7-a1cb-3863bb33a4e4,St-Alexandre / Ste-Catherine,6078,45.50538225593995,-73.56763422489166,CREDITCARD,KEY,15,false,false,,,,,,,,,true
72,0b106932-08f3-11e7-a1cb-3863bb33a4e4,Métro Vendôme (de Marlowe / de Maisonneuve),6080,45.47393028235147,-73.60473453998564,CREDITCARD,KEY,39,false,false,,,,,,,,,true
73,0b106b02-08f3-11e7-a1cb-3863bb33a4e4,Mackay / Ste-Catherine,6081,45.49570931691902,-73.5769522190094,CREDITCARD,KEY,11,false,false,,,,,,,,,true
74,0b106c33-08f3-11e7-a1cb-3863bb33a4e4,5e avenue / Rosemont,6082,45.54990048023633,-73.58308374881744,CREDITCARD,KEY,19,false,false,,,,,,,,,true
75,0b106d46-08f3-11e7-a1cb-3863bb33a4e4,Square Phillips,6083,45.50373771539475,-73.56810629367828,CREDITCARD,KEY,15,false,false,,,,,,,,,true
76,0b106e5d-08f3-11e7-a1cb-3863bb33a4e4,Duke / Brennan,6084,45.495581350533946,-73.55371087789534,CREDITCARD,KEY,31,false,false,,,,,,,,,true
77,0b106f9a-08f3-11e7-a1cb-3863bb33a4e4,Notre-Dame / Peel,6085,45.4952,-73.56328,CREDITCARD,KEY,51,false,false,,,,,,,,,true
78,0b1070e3-08f3-11e7-a1cb-3863bb33a4e4,Henri-Julien / du Carmel,6089,45.527839413108,-73.59482109546661,CREDITCARD,KEY,27,false,false,,,,,,,,,true
79,0b107204-08f3-11e7-a1cb-3863bb33a4e4,Métro Lucien-L'Allier  (Lucien l'Allier / Argyle),6090,45.49487159597493,-73.57112377882004,CREDITCARD,KEY,17,false,false,,,,,,,,,true
80,0b107323-08f3-11e7-a1cb-3863bb33a4e4,Joseph-Manseau / René-Lévesque,6091,45.491686521008035,-73.57676714658737,CREDITCARD,KEY,15,false,false,,,,,,,,,true
81,0b107432-08f3-11e7-a1cb-3863bb33a4e4,Crescent / Ste-Catherine,6092,45.497092016878234,-73.57554942369461,CREDITCARD,KEY,31,false,false,,,,,,,,,true
82,0b10753d-08f3-11e7-a1cb-3863bb33a4e4,Métro Beaubien (de Chateaubriand / Beaubien),6912,45.5353599615622,-73.60363483428955,CREDITCARD,KEY,23,false,false,,,,,,,,,true
83,0b10765d-08f3-11e7-a1cb-3863bb33a4e4,Métro Atwater (Atwater / Ste-Catherine),6194,45.48947622882084,-73.58456566929817,CREDITCARD,KEY,27,false,false,,,,,,,,,true
84,0b107771-08f3-11e7-a1cb-3863bb33a4e4,Chomedey / de Maisonneuve,6095,45.491800276787224,-73.58400642871855,CREDITCARD,KEY,23,false,false,,,,,,,,,true
85,0b10787d-08f3-11e7-a1cb-3863bb33a4e4,Lucien L'Allier / St-Jacques,6096,45.49356916133978,-73.56857568025589,CREDITCARD,KEY,19,false,false,,,,,,,,,true
86,0b107988-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / St-Marc,6097,45.492897397177465,-73.58029425144196,CREDITCARD,KEY,27,false,false,,,,,,,,,true
87,0b1081d2-08f3-11e7-a1cb-3863bb33a4e4,Bishop / Ste-Catherine,6098,45.496583295698706,-73.5765016078949,CREDITCARD,KEY,31,false,false,,,,,,,,,true
88,0b10834a-08f3-11e7-a1cb-3863bb33a4e4,Ste-Catherine / Labelle,6099,45.51506508398211,-73.55922952294348,CREDITCARD,KEY,23,false,false,,,,,,,,,true
89,0b108464-08f3-11e7-a1cb-3863bb33a4e4,Mackay / de Maisonneuve,6100,45.49659,-73.57851,CREDITCARD,KEY,27,false,false,,,,,,,,,true
90,0b108588-08f3-11e7-a1cb-3863bb33a4e4,Métro Villa-Maria (Décarie / de Monkland),6101,45.479483,-73.61979,CREDITCARD,KEY,17,false,false,,,,,,,,,true
91,0b1086a7-08f3-11e7-a1cb-3863bb33a4e4,Lincoln / du Fort,6102,45.493034,-73.583836,CREDITCARD,KEY,15,false,false,,,,,,,,,true
92,0b1087c4-08f3-11e7-a1cb-3863bb33a4e4,du Havre / Hochelaga,6103,45.535753085274585,-73.55794072151183,CREDITCARD,KEY,15,false,false,,,,,,,,,true
93,0b1088f0-08f3-11e7-a1cb-3863bb33a4e4,Wolfe / René-Lévesque,6104,45.51681750463149,-73.5541883111,CREDITCARD,KEY,31,false,false,,,,,,,,,true
94,0b108a09-08f3-11e7-a1cb-3863bb33a4e4,Plessis / René-Lévesque,6105,45.51937252291976,-73.55195805430411,CREDITCARD,KEY,19,false,false,,,,,,,,,true
95,0b108b24-08f3-11e7-a1cb-3863bb33a4e4,Papineau / René-Lévesque,6106,45.52114,-73.54926,CREDITCARD,KEY,25,false,false,,,,,,,,,true
96,0b1091b6-08f3-11e7-a1cb-3863bb33a4e4,St-Mathieu / Ste-Catherine,6107,45.49367956421703,-73.57914626598358,CREDITCARD,KEY,31,false,false,,,,,,,,,true
97,0b1093c6-08f3-11e7-a1cb-3863bb33a4e4,Logan / Fullum,6108,45.52836601591233,-73.55117082595825,CREDITCARD,KEY,19,false,false,,,,,,,,,true
98,0b1094fe-08f3-11e7-a1cb-3863bb33a4e4,Quai de la navette fluviale,6109,45.513741443172,-73.53838205337523,CREDITCARD,KEY,19,false,false,,,,,,,,,true
99,0b10961a-08f3-11e7-a1cb-3863bb33a4e4,Poupart / Ste-Catherine,6110,45.52900206660643,-73.54619935154915,CREDITCARD,KEY,19,false,false,,,,,,,,,true
100,0b10972e-08f3-11e7-a1cb-3863bb33a4e4,Parthenais / Ste-Catherine,6111,45.52600589494234,-73.54886412620544,CREDITCARD,KEY,31,false,false,,,,,,,,,true
101,0b10983d-08f3-11e7-a1cb-3863bb33a4e4,Montcalm / de Maisonneuve,6112,45.519139183741046,-73.55786561965942,CREDITCARD,KEY,19,false,false,,,,,,,,,true
102,0b10994d-08f3-11e7-a1cb-3863bb33a4e4,Alexandre-DeSève / Ste-Catherine,6113,45.52123044585842,-73.55386108160019,CREDITCARD,KEY,19,false,false,,,,,,,,,true
103,0b109fc4-08f3-11e7-a1cb-3863bb33a4e4,Métro Papineau (Cartier / Ste-Catherine),6114,45.52353,-73.55199,CREDITCARD,KEY,25,false,false,,,,,,,,,true
104,0b10a104-08f3-11e7-a1cb-3863bb33a4e4,Benny / de Monkland,6115,45.46685123845205,-73.63162770867348,CREDITCARD,KEY,27,false,false,,,,,,,,,true
105,0b10c307-08f3-11e7-a1cb-3863bb33a4e4,Plessis / Ontario,6116,45.52349210923463,-73.56073021888733,CREDITCARD,KEY,19,false,false,,,,,,,,,true
106,0b10c45c-08f3-11e7-a1cb-3863bb33a4e4,de Maisonneuve / Aylmer (est),6117,45.50526304478131,-73.57048004865646,CREDITCARD,KEY,13,false,false,,,,,,,,,true
